Causa,Fecha_Evento,Fenomeno,idEvento,idFenomeno_1,idFenomeno,idLocalidad,idMunicipio,idRegion,Latitud,Longitud,Nombre,Region,Municipio,Localidad
PRECIPITACION,JUNIO 6. 2014,HIDROMETEOROLOGICOS,44.737,1,1,20.038,34,15,16.24,-92.12,ENCHARCAMIENTO EN FRACCIONAMIENTO LAS FLORES,MESETA COMITECA TOJOLABAL,COMITAN DE DOMINGUEZ,CABECERA MUNICIPAL
ENCHARCAMIENTO,JUNIO 6. 2014,HIDROMETEOROLOGICOS,44.738,69,1,227,93,5,16.71,-92.61,ENCHARCAMIENTO EN SAN CRISTOBAL,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS
PRECIPITACION,JUNIO 7. 2014,HIDROMETEOROLOGICOS,44.755,1,1,157,27,1,16.79,-93.27,ENCHARCAMIENTO DE VIVIENDA POR TAPONAMIENTO DE DRENAJE,METROPOLITANA,BERRIOZABAL,BERRIOZABAL
PRECIPITACION,JUNIO 8. 2014,HIDROMETEOROLOGICOS,44.762,1,1,13.799,27,1,16.8,-93.27,SALIDA DEL ARROYO LA BRUJA BARRIO SAN MIGUEL,METROPOLITANA,BERRIOZABAL,SAN MIGUEL
PRECIPITACION,JUNIO 8. 2014,HIDROMETEOROLOGICOS,44.794,1,1,7.386,27,1,16.79,-93.27,VERIFICACION DE AFECTACIONES POR LLUVIAS.,METROPOLITANA,BERRIOZABAL,UNION HIDALGO
AFECTACIONES POR LLUVIAS,JUNIO 10. 2014,HIDROMETEOROLOGICOS,44.848,80,1,10.621,27,1,16.81,-93.28,VIVIENDA AFECTADA POR LLUVIAS.,METROPOLITANA,BERRIOZABAL,SAN JERONIMO (SOLIDARIDAD)
VERIFICACIONES,JUNIO 9. 2014,ACCIONES DE PREVENCION,44.849,52,8,5.689,98,4,16.24,-92.35,ENCHARCAMIENTO POR MUCHA LLUVIA EN LA COMUNIDAD DE SAN VICENTE,DE LOS LLANOS,SOCOLTENANGO,SAN VICENTE
VERIFICACIONES,JUNIO 10. 2014,ACCIONES DE PREVENCION,44.865,52,8,20.119,115,1,16.74,-93.1,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 10. 2014,ACCIONES DE PREVENCION,44.879,52,8,20.119,115,1,16.75,-93.1,INUNDACION DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 10. 2014,ACCIONES DE PREVENCION,44.884,52,8,20.119,115,1,16.77,-93.12,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
